Carimbo de data/hora,Nome da Instituição:,CNES:,Data:,Responsável pelo preenchimento:,Quantidade de leitos clínicos SUS totais:,Quantidade de leitos clínicos SUS ocupados:,Quantidade de leitos clínicos convênios/particulares totais:,Quantidade de leitos clínicos convênios/particulares ocupados:,Quantidade de leitos cirúrgicos SUS totais:,Quantidade de leitos cirúrgicos SUS ocupados:,Quantidade de leitos cirúrgicos convênios/particulares totais:,Quantidade de leitos cirúrgicos convênios/particulares ocupados:,Quantidade de leitos pediátricos SUS totais:,Quantidade de leitos pediátricos SUS ocupados:,Quantidade de leitos pediátricos convênios/particulares totais:,Quantidade de leitos pediátricos convênios/particulares ocupados:,Quantidade de leitos de UTIA SUS totais:,Quantidade de leitos de UTIA SUS ocupados:,Quantidade de leitos de UTIA convênios/particulares totais:,Quantidade de leitos de UTIA convênios/particulares ocupados:,Quantidade de leitos de UTI Neo e Ped SUS totais:,Quantidade de leitos de UTI Neo e Ped SUS ocupados:,Quantidade de leitos de UTI Neo e Ped convênios/particulares totais:,Quantidade de leitos de UTI Neo e Ped convênios/particulares ocupados:,Quantidade de leitos de GO/obstetrícia SUS totais:,Quantidade de leitos de GO/obstetrícia SUS ocupados:,Quantidade de leitos de GO/obstetrícia convênios/particulares totais:,Quantidade de leitos de GO/obstetrícia convênios/particulares ocupados:,Quantidade de pacientes em isolamento que necessitam de quarto privativo (ex.: quartos com 02 leitos ocupados com apenas 01 paciente em isolamento):,Quantidade de leitos de UCINCo/UCINCa SUS totais:,Quantidade de leitos de UCINCo/UCINCa convênios/particulares ocupados:,Quantidade de leitos de UCINCo/UCINCa SUS ocupados:,Quantidade de leitos de UCINCo/UCINCa convênios/particulares totais:,Anexar censo diário por tipo de clínica (censo hospitalar gerado pelo sistema utilizado na instituição):,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6
04/07/2025 13:39:00,Santa Casa de Franca,2705982,04/07/2025,,115,121,8,8,81,65,14,5,24,17,0,0,48,44,2,2,24,15,1,0,36,35,0,0,,18,0,15,0,https://drive.google.com/open?id=1gWfXgeWxTB82AsVkhjgWzC4GpJmiBVcd,,,,,,
04/07/2025 15:34:00,SANTA CASA DE MISERICORDIA DE SÃƒO JOAQUIM DA BARRA,2080044,04.07.2025,,43,34,16,7,10,6,7,2,4,2,2,0,8,9,2,3,0,0,0,0,12,2,8,3,,0,0,0,0,https://drive.google.com/open?id=1TXCFqFJGQFwwyBZdQu5qKqLR89HfdvL2,,,,,,
05/07/2025 11:24:00,Santa Casa Ituverava,2751704,05.07.2025,,30,23,19,6,11,4,8,1,5,0,3,1,9,8,1,2,0,0,0,0,12,0,9,0,,0,0,0,0,https://drive.google.com/open?id=108NVrrx4XNJ2_iyaoNw_qSo6D0d36jYl,,,,,,
05/07/2025 14:33:00,SANTA CASA DE MISERICORDIA DE SÃƒO JOAQUIM DA BARRA,2080044,05/07/2025,,43,34,16,4,10,3,7,2,4,2,2,0,8,6,2,4,0,0,0,0,12,0,8,1,,0,0,0,0,https://drive.google.com/open?id=1B1bzPBeo1m1ulz7BOEW8fRB6g4HVsFkQ,,,,,,
07/07/2025 08:15:00,Santa Casa de Franca,2705982,05.07.2025,,115,123,8,8,81,66,14,4,24,25,0,0,48,43,2,2,24,23,1,0,36,30,0,0,,18,0,17,0,https://drive.google.com/open?id=1kxCX3cD6imRodQjlzrbeur3QqU8pV13c,,,,,,
06/07/2025 12:48:00,SANTA CASA DE MISERICORDIA DE ITUVERAVA,2751704,06.07.2025,,30,226,19,6,11,4,8,0,5,0,3,0,9,6,1,4,0,0,0,0,12,1,9,1,,0,0,0,0,https://drive.google.com/open?id=1Z4XaHjeOnorcZoLU9StEX_ZRnf70HOW_,,,,,,
06/07/2025 14:36:00,SANTA CASA DE MISERICORDIA DE SÃƒO JOAQUIM DA BARRA,2080044,06/07/2025,,43,28,16,3,10,2,7,1,4,1,2,0,8,7,2,4,0,0,0,0,12,0,8,0,,0,0,0,0,https://drive.google.com/open?id=1DfWvoKyZ1j-VWmNOGzOi2gQE4Wtr7Fcr,,,,,,
07/07/2025 08:24:00,Santa Casa de Franca,2705982,06.07.2025,,115,131,8,8,81,67,14,6,24,25,0,0,48,43,2,2,24,22,1,0,36,28,0,0,,18,0,15,0,https://drive.google.com/open?id=1xfK841__0JDYnQ69x-3mJ-PZLFgVQNP5,,,,,,
07/07/2025 11:08:00,Santa Casa Ituverava,2751704,07.07.2025,,30,22,19,6,11,4,9,0,5,0,3,2,9,6,1,3,0,0,0,0,12,2,9,2,,0,0,0,0,https://drive.google.com/open?id=146m-Sil_rUfOpPMp-R7MUF8sX1aISL_J,,,,,,
07/07/2025 11:12:00,Santa Casa de Franca,2705982,07/07/2025,,115,131,8,8,81,74,14,6,24,24,0,0,48,43,2,2,24,21,1,0,36,32,0,0,,18,0,15,0,https://drive.google.com/open?id=1jAfETPR_8qfIUTRIzGZtXs287YNQkZlt,,,,,,
